idlider,idmembro,iddepto,idarea,idposicao,status
fe01f755,mem00013,b9527cad,,7476ffb8,Ativo
ff3dad0c,bfadba9c,cafb25b8,42cc07cf-8eb6-46b5-bbf2-0daa6c35a3f1,c3ee84db,Ativo
ff8a0850,ccd62b8a,9478433e,a5b3cc73-a3d4-4964-8368-5d84a6245e40,5ca084b1,Ativo
LID000001,2c454a5e,cafb25b8,c74fb8b0-e69b-438f-85b6-b2f314847559,,Ativo
LID000002,5589da53,824861de,6820d950-b42d-440f-bdb6-8d6022edfb9c,,Ativo
LID000003,290475f6,824861de,6820d950-b42d-440f-bdb6-8d6022edfb9c,,Ativo
LID000004,mem00038,824861de,2a522293-e98f-453b-9632-550fc1d37d27,,Ativo
LID000005,f7dc55e7,824861de,6820d950-b42d-440f-bdb6-8d6022edfb9c,,Ativo
LID000006,defcb084,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000007,ccd4e228,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000008,290475f6,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000009,e406450d,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000010,40c95681,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000011,42f2974c,d6401355-4f66-4b85-b0a2-b2b3e5381ead,,,Ativo
LID000012,mem00029,ad24c9fe,,,Ativo
LID000013,mem00002,8278f370-e170-4a1d-8f9c-0f32521b8190,53727082-1e64-485e-a71e-1ffda24c8169,,Ativo
LID000014,65ed9769,8278f370-e170-4a1d-8f9c-0f32521b8190,,,Ativo
LID000015,4b152a87,8278f370-e170-4a1d-8f9c-0f32521b8190,e4ea638a-9fa4-4032-9aaf-eb9e2d4a696e,,Ativo
LID000016,mem00019,8278f370-e170-4a1d-8f9c-0f32521b8190,36db8461-8d68-462f-9160-238a92387a67,,Ativo
LID000017,dca6fbb4,8278f370-e170-4a1d-8f9c-0f32521b8190,e4ea638a-9fa4-4032-9aaf-eb9e2d4a696e,,Ativo
LID000018,mem00026,8278f370-e170-4a1d-8f9c-0f32521b8190,,,Ativo
LID000019,88d86d1a,8278f370-e170-4a1d-8f9c-0f32521b8190,e4ea638a-9fa4-4032-9aaf-eb9e2d4a696e,,Ativo
LID000020,mem00035,8278f370-e170-4a1d-8f9c-0f32521b8190,36db8461-8d68-462f-9160-238a92387a67,,Ativo
LID000021,MEM000535,b9527cad,,,Ativo
LID000022,MEM000536,8278f370-e170-4a1d-8f9c-0f32521b8190,,,Ativo
LID000023,3878419b,05c5c55d,3b9c8049-19c5-4d19-9a81-2ad8b9ae8c59,,Ativo
LID000024,MEM000537,05c5c55d,3b9c8049-19c5-4d19-9a81-2ad8b9ae8c59,,Ativo
LID000025,MEM000539,e910cfb7,8f93e101-9ef0-42b4-bf56-673c6e53fe7c,,Ativo
LID000026,mem00009,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000027,mem00013,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000028,79db7e70,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000029,mem00017,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000030,e6d55cd2,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000031,0283d644,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000032,dca6fbb4,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000033,mem00026,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000034,dc3e0a6f,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000035,mem00029,114da0e3,8a98fb41-2848-452b-98fa-f931c52a9a67,,Ativo
LID000036,829999c2,f5a571ce,af7dc096-655b-4c8d-a312-56eb3a0aecc7,,Ativo
LID000037,c10143a8,824861de,6820d950-b42d-440f-bdb6-8d6022edfb9c,,Ativo
LID000NaN,f5574509,cafb25b8,c74fb8b0-e69b-438f-85b6-b2f314847559,,Ativo
