id,membro_id,parente_id,tipo_relacionamento,created_at,updated_at
81bb493c-39f8-42ca-af89-3c71f365bfea,f7dc55e7,e6d55cd2,conjuge,2025-09-18 13:16:15.886479+00,2025-09-18 13:16:15.886479+00
8341f768-0843-4977-9b38-6f15ebe35a28,22ec752c,cdf8b25e,mae,2025-10-04 22:48:53.103829+00,2025-10-04 22:48:53.103829+00
8620bc9c-4f51-4a94-b1f2-618605aa4aec,d22d1bad,fef399a2,irmao,2025-09-01 14:39:14.632064+00,2025-09-01 14:39:14.632064+00
8793784a-7e95-4889-a84b-59d86941b66b,a7cfdde3,3743de23,mae,2025-09-01 13:00:41.986358+00,2025-09-01 13:00:41.986358+00
8a2eaf78-6632-4786-9ef1-d4936198597f,MEM000528,mem00017,tutor,2025-09-19 13:46:55.39671+00,2025-09-19 13:46:55.39671+00
8bbb2556-d898-45c4-b251-be9061f75b98,fadc6274,530657f3,mae,2025-09-01 14:58:09.254512+00,2025-09-01 14:58:09.254512+00
8be1959d-2e55-406d-ae3a-f1ccc4f8c4d2,3743de23,MEM000534,filho,2025-09-12 11:41:59.487195+00,2025-09-12 11:41:59.487195+00
8dba47cd-a132-4a3c-9be5-1912fae9912c,MEM000166,18d13212,mae,2025-09-04 14:57:37.530347+00,2025-09-04 14:57:37.530347+00
91d2a701-0ebe-442b-b2fe-b63646b09470,mem00040,mem00015,filho,2025-08-27 11:15:55.137234+00,2025-08-27 11:15:55.137234+00
9221a768-e721-4aae-b5df-1811ff937e8b,6585d2e5,ca6e3d2e,pai,2025-09-01 14:48:41.33112+00,2025-09-01 14:48:41.33112+00
98f60cf7-0894-4ded-8aaf-1a6816c453ce,8d0de886,mem00027,mae,2025-09-12 11:45:06.342599+00,2025-09-12 11:45:06.342599+00
9da5c809-b82c-4c34-abda-9e5c7eea1f58,e37f247a,af643241,pai,2025-09-01 13:05:39.02222+00,2025-09-01 13:05:39.02222+00
a01be0d0-cfda-4816-91c9-1cfa6bedc97f,MEM000531,MEM000533,pai,2025-09-12 11:38:23.049397+00,2025-09-12 11:38:23.049397+00
a3d99b08-32d7-4093-98f0-f4d9dddf100a,cdf8b25e,e369e1e0,filha,2025-10-04 23:07:04.35557+00,2025-10-04 23:07:04.35557+00
a5b2c36e-5ccd-4bf5-9665-3e3c0143d32f,8d0de886,f20531ae,irmao,2025-09-12 11:45:22.385832+00,2025-09-12 11:45:22.385832+00
a6c6ab58-9a2b-4b6b-9285-2fc8db5ebc02,MEM000529,120fca35,irma,2025-09-04 15:04:53.953133+00,2025-09-04 15:04:53.953133+00
a8ca5d58-29a5-4727-ad09-0bd42ca09ef1,14ab9982,07f41234,pai,2025-09-01 14:57:29.999063+00,2025-09-01 14:57:29.999063+00
ae740619-8d73-4be3-b835-dc6d532e552e,22ec752c,780cfaf4,irmao,2025-10-04 22:49:19.860134+00,2025-10-04 22:49:19.860134+00
b0946940-183c-4a21-9ba0-8f49e5d6e98a,mem00018,MEM000528,neto,2025-09-04 15:01:32.695951+00,2025-09-04 15:01:32.695951+00
b15edec2-fe38-4834-bf3e-3cf84fbd43c1,780cfaf4,cdf8b25e,mae,2025-09-01 14:42:35.547205+00,2025-09-01 14:42:35.547205+00
b66f0609-9235-4090-93a4-7a14d7bb85f1,e37f247a,0be7b350,irma,2025-09-01 13:05:20.555799+00,2025-09-01 13:05:20.555799+00
bb709fa0-47ab-4f59-aace-619480c85f93,dd4cf2a4,1b2359ad,conjuge,2025-08-28 15:08:27.574208+00,2025-08-28 15:08:27.574208+00
bd2d5dbd-fd74-4d63-91a9-81da388f8b2f,mem00005,mem00030,conjuge,2025-10-17 15:29:35.928485+00,2025-10-17 15:29:35.928485+00
c27f1a54-89dc-4d1c-9e30-4a47103d9655,e0ffcfd8,mem00045,filho,2025-08-16 02:25:37.922593+00,2025-08-16 02:25:37.922593+00
c41799c9-bbb8-49f3-a9d8-a0d6a5b40221,18d13212,MEM000166,filho,2025-09-04 14:57:37.709092+00,2025-09-04 14:57:37.709092+00
c497f0c3-5af4-4e7e-b39b-95be075a9dba,2c8f03be,d2e60eff,mae,2025-09-01 14:44:20.734074+00,2025-09-01 14:44:20.734074+00
c56e5557-2c25-4204-bd30-8a376cf382a7,120fca35,mem00031,pai,2025-09-01 14:54:51.335139+00,2025-09-01 14:54:51.335139+00
c691bb0b-9780-4240-bcdc-cc5ce03cb8c7,c10d04fa,dc3e0a6f,mae,2025-09-01 14:40:03.135949+00,2025-09-01 14:40:03.135949+00
c6c1b376-bd7c-4e5a-9c4f-9d38e0103cf8,ac5b08f6,78b4cb9d,pai,2025-09-01 14:55:35.16127+00,2025-09-01 14:55:35.16127+00
cc737209-43e5-4c90-94f7-5afc5ae39dd5,1b2359ad,dd4cf2a4,conjuge,2025-08-28 15:08:27.338274+00,2025-08-28 15:08:27.338274+00
d26afe72-f285-44aa-87ac-2b4b53947cf7,120fca35,mem00001,mae,2025-09-01 14:54:42.069943+00,2025-09-01 14:54:42.069943+00
d93054a6-3472-4a5b-a1ef-1be9152558e3,mem00027,f20531ae,filho,2025-09-12 11:46:17.576481+00,2025-09-12 11:46:17.576481+00
d955b4dd-c8b1-41c3-b7cb-829d2ea781c1,fadc6274,7480b99d,pai,2025-09-01 14:58:19.715931+00,2025-09-01 14:58:19.715931+00
deb3f1e2-a972-402b-bcac-5f3079545bd3,42a86117,fa7bc5f3,irma,2025-09-01 14:45:38.103079+00,2025-09-01 14:45:38.103079+00
e39bc825-a3bf-4d47-b66b-e1626f23e34b,MEM000528,mem00018,avo,2025-09-04 15:01:32.506521+00,2025-09-04 15:01:32.506521+00
e4f3aad1-4ea7-4223-a9ad-e5939c9e46a6,mem00030,3d936788,filho,2025-10-08 16:31:23.226194+00,2025-10-08 16:31:23.226194+00
e526fc46-126d-4ecf-a1a8-d0ca95bfd5dc,d2020b13,cdf8b25e,conjuge,2025-10-17 15:29:35.859333+00,2025-10-17 15:29:35.859333+00
e5870766-a439-448b-a199-a64766f90744,MEM000529,mem00001,mae,2025-09-04 15:04:43.560944+00,2025-09-04 15:04:43.560944+00
ec0f1458-d33e-4c79-8f05-7cbb1d147522,mem00017,MEM000528,neto,2025-09-04 15:01:24.155724+00,2025-09-04 15:01:24.155724+00
ef83691d-52df-42f0-8ab0-6a7b5d268bad,mem00001,120fca35,filha,2025-08-23 17:55:26.84255+00,2025-08-23 17:55:26.84255+00
f08971e9-0e3a-46c2-aa2c-21323b2d58bc,MEM000528,mem00017,ava,2025-09-04 15:01:23.928023+00,2025-09-04 15:01:23.928023+00
f30363f5-be62-41c5-aaf7-fbd53ba94409,14ab9982,d1e3669e,mae,2025-09-01 14:57:22.130971+00,2025-09-01 14:57:22.130971+00
f9162fc6-3228-469b-aad7-8677868a74f4,e369e1e0,cdf8b25e,mae,2025-09-01 14:47:03.761096+00,2025-09-01 14:47:03.761096+00
fd5bdf9e-eb28-48e2-aaf9-d9a6c09a80d4,MEM000532,MEM000533,conjuge,2025-09-12 11:38:12.010808+00,2025-09-12 11:38:12.010808+00
fdfb1351-7cb5-48c4-8bc5-3f8b10391090,829999c2,MEM000166,irmao,2025-09-04 14:57:47.768188+00,2025-09-04 14:57:47.768188+00
feb1918d-b0d4-4eb5-9373-d9e55deb9258,mem00001,MEM000529,filho,2025-09-04 15:04:43.751011+00,2025-09-04 15:04:43.751011+00
