idlider,idmembro,iddepto,idarea,idposicao,status
76aeeb9a,5cdc4f69,f5a571ce,45bad66e,5ca084b1,Inativo
770ede8a,06d24024,c3245218,0fd2a7a5,c3ee84db,Ativo
7864aab1,mem00032,c3245218,5aee6443,7476ffb8,Inativo
7a08cdb7,mem00039,c3245218,0fd2a7a5,5ca084b1,Inativo
7a9e3bbc,mem00039,11b5578a,b9527cad,5ca084b1,Ativo
7b7db8c0,mem00027,f5a571ce,45bad66e,5ca084b1,Ativo
7d48b42a,mem00015,c3245218,0fd2a7a5,5ca084b1,Ativo
7eabf800,mem00040,c3245218,0fd2a7a5,aa843d64,Ativo
7f08e767,mem00013,c3245218,88905ece,7476ffb8,Ativo
835b58e2,mem00031,114da0e3,b9527cad,5ca084b1,Ativo
8582f7cd,mem00007,cafb25b8,ad24c9fe,c3ee84db,Ativo
88841019,mem00033,6444ed94,b9527cad,5ca084b1,Ativo
8a8855e0,mem00037,c3245218,824861de,61b957f1,Inativo
8af2fa67,mem00002,c3245218,c344da41,c3ee84db,Ativo
8b17bcfd,cdf8b25e,05c5c55d,b9527cad,5ca084b1,Ativo
8d18debf,d1e9cbb3,c3245218,890a0b1e,c3ee84db,Ativo
8dcedf79,d6f77649,c3245218,824861de,c3ee84db,Inativo
8e6b021c,mem00034,f5a571ce,45bad66e,5ca084b1,Ativo
916e108a,mem00040,c3245218,890a0b1e,c3ee84db,Ativo
936444dd,mem00016,c3245218,c344da41,5ca084b1,Ativo
954847fa,d5208054,c3245218,824861de,c3ee84db,Inativo
96291d8c,mem00037,114da0e3,b9527cad,,Inativo
96c75876,mem00022,c3245218,0fd2a7a5,5ca084b1,Ativo
9837f6c6,defcb084,c3245218,890a0b1e,,Ativo
99a39524,f563f392,2d5b5e5f,5aee6443,c3ee84db,Ativo
99e6943a,mem00019,c3245218,824861de,5ca084b1,Ativo
9a3a4b30,ccd4e228,6444ed94,b9527cad,5ca084b1,Ativo
9ad0a669,mem00039,114da0e3,2238c775,,Inativo
9c0c3d35,mem00015,33b4a9a3,4ebd3162,f8dfb1bd,Ativo
9c720f31,0283d644,e91c4307,b9527cad,5ca084b1,Ativo
9e58d4e2,cc268a01,f5a571ce,45bad66e,5ca084b1,Inativo
9ec42790,d2e60eff,05c5c55d,ad24c9fe,c3ee84db,Ativo
9f56713f,ccd62b8a,c3245218,824861de,c3ee84db,Inativo
a0bb915f,mem00015,33b4a9a3,b7346492,f8dfb1bd,Ativo
a3555329,mem00009,cafb25b8,b9527cad,f8dfb1bd,Ativo
a7f55d2b,mem00015,33b4a9a3,6e9551ab,,Ativo
a83402af,mem00014,c3245218,c344da41,5ca084b1,Ativo
