id,idescala,idfuncao,quantidade,observacoes,created_at
093cfb2f-81ed-464b-a623-a38d948e0c66,esc30ba0e79,fun009,1,,2025-10-14 19:07:26.140467+00
0b95478b-3baf-43a7-b68a-a6c9a8505ada,esc391b2b73,fun008,1,,2025-10-14 18:26:20.278976+00
43c2eeb5-8475-49fd-8b48-c21fb2df77dd,esc30ba0e79,fun008,1,,2025-10-14 19:07:25.999926+00
4a050615-ac5e-4c01-80ff-a6eefabfe437,esc391b2b73,fun009,1,,2025-10-14 18:26:20.691436+00
4e088af7-3315-4f42-b934-fbebf6536594,esc391b2b73,fun009,1,,2025-10-14 18:26:20.515041+00
5e535299-6d95-4d5b-8b91-7a8406d2bf47,esce2e8e2cf,fun008,1,,2025-10-14 18:20:47.976624+00
76366869-f43c-4b87-89f9-e87657d1ee30,esc30ba0e79,fun009,1,,2025-10-14 19:07:26.284613+00
830f6ba0-80d9-49a0-98d3-e7a31b3e6820,esce2e8e2cf,fun009,1,,2025-10-14 18:20:48.164142+00
bce23a54-e48d-40d4-8fe1-a67df870a996,escb0aec74c,fun009,1,,2025-10-14 18:25:08.136059+00
cf711553-459f-419e-a47b-62cf17b2635d,escb0aec74c,fun008,1,,2025-10-14 18:25:07.784755+00
