id,user_id,app_id,status,created_at,updated_at
0e1e9fb1-fa86-4945-ba1d-027713be221b,USR000001,kids-drops,inativo,2025-09-06 12:54:50.464168+00,2025-09-06 12:54:50.464168+00
4a1468b4-a0dd-462b-a820-7d4138c6e2fd,USR000003,kids-drops,ativo,2025-09-08 10:05:19.686093+00,2025-09-08 10:05:19.643+00
776e2e23-f1d5-4781-ab78-56290d355e8b,5ae4e463,kids-drops,inativo,2025-09-06 12:44:41.320189+00,2025-09-06 12:54:44.198911+00
