idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
9c349e23,9327fe0b,,2025-04-13,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9dbfdd49,9327fe0b,,2025-03-01,,,e9150cce,0d912219,,Imersão Águas Profundas,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
9ea3e729,9327fe0b,,2025-10-31,,,e9150cce,5bb57938,,Conferência Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a06f965e,cafb25b8,,2025-01-04,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a09af9a9,9327fe0b,,2025-05-11,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a0c65995,9327fe0b,,2024-12-31,,,e9150cce,77f4248d,,Culto da Virada,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a168035b,e910cfb7,,2025-03-22,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a3636e5d,9327fe0b,,2025-07-12,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a4d2e801,9327fe0b,,2025-10-15,,,e9150cce,680a163d,,Culto de Quarta - Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a5b204ac,9327fe0b,,2025-09-21,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a7ea6d6d,9327fe0b,,2025-03-02,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
a96c3063,9327fe0b,,2025-08-06,,,e9150cce,1fca0c25,,Culto de Quarta - Batismo com o Espírito Santo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
aa15aef0,9327fe0b,,2025-06-08,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
ab3f45c0,f5a571ce,,2025-05-15,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
ab530c8e,f5a571ce,,2025-10-30,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
ade0d344,9327fe0b,,2025-11-09,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
afaad582,33b4a9a3,,2025-01-28,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
age0cc5a171,824861de,68a82596,2025-08-23,15:00:00,16:00:00,e9150cce,36a2cb58,status001,Abrigo,Prestar atenção com os protocolos,d7b1c535-bd40-499b-8bed-f45fc2de39ac,2025-08-26 06:25:06.220924+00,2025-10-16 14:24:32.614408+00
b071ea2e,9327fe0b,,2025-03-30,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b080b742,9327fe0b,,2025-07-06,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b0e7233a,9327fe0b,,2025-06-28,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b10f8974,9327fe0b,,2025-03-05,,,e9150cce,e6ea5cf5,,Culto das Mulheres,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b12e2eb0,e910cfb7,,2025-04-05,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b1383407,e910cfb7,,2025-09-20,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b3b8d949,f5a571ce,,2025-05-01,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b46417ca,9327fe0b,,2025-03-26,,,e9150cce,1f5005d7,,Culto dos Homens,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b66ed846,e910cfb7,,2025-02-15,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b7c24f62,9327fe0b,,2025-05-10,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b82df339,9327fe0b,,2025-06-08,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b86e0ed5,f5a571ce,,2025-08-07,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b96253da,f5a571ce,,2025-01-07,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
b99790b9,9327fe0b,,2025-04-10,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
bcdad98a,9327fe0b,,2025-04-27,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
bdb989c6,ad72a13c,,2025-02-28,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
bde6d214,9327fe0b,,2025-07-13,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
be8eb7dd,9327fe0b,,2025-05-03,,,,e157a417,,Piquenique da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
be8fc38d,9327fe0b,,2025-08-10,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
bec49429,9327fe0b,6385f28b,2025-08-31,18:00:00,20:00:00,e9150cce,3bdbd021,status001,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-26 05:25:59.01581+00
c108b3cb,9327fe0b,,2024-12-22,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c1222e28,9327fe0b,,2025-12-27,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c18be5b7,33b4a9a3,,2025-10-28,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c4ea7cdf,33b4a9a3,,2025-04-29,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c74f385f,33b4a9a3,,2025-05-27,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c7887fa9,9327fe0b,,2025-07-10,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
c8db12fb,9327fe0b,,2025-07-13,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
caa713aa,fcb9df12,,2025-09-27,,,,53d98f68,,Evangelismo de Rua,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
cacc0e18,e910cfb7,,2025-10-04,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
cbc89992,9327fe0b,,2025-01-23,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d081a360,9327fe0b,,2025-06-11,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d0c651cd,9327fe0b,,2025-09-14,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d1bd20cd,9327fe0b,,2025-03-09,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d2405423,9327fe0b,,2025-08-03,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d56e92ca,9327fe0b,,2025-07-02,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d72a6f78,9327fe0b,6385f28b,2025-08-27,20:00:00,22:00:00,e9150cce,1fca0c25,status001,Culto de Quarta - Batismo com o Espírito Santo,,,2025-08-15 23:32:55.079916+00,2025-08-26 05:24:29.066501+00
d7db8bf0,9327fe0b,,2025-02-09,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d8618bd8,9327fe0b,,2025-12-07,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d8d4056b,9327fe0b,,2025-10-01,,,e9150cce,680a163d,,Culto de Quarta - Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d91f758a,f5a571ce,,2025-10-16,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
d96bd031,9327fe0b,,2025-04-06,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
db7d61f4,33b4a9a3,,2025-02-25,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
dd8ba151,33b4a9a3,,2025-03-25,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
de67643a,9327fe0b,,2024-12-26,,,e9150cce,85f587e7,,Quinta Profética,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
dec13753,9327fe0b,,2025-07-16,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
df542a5a,9327fe0b,,2025-07-20,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e1172182,9327fe0b,,2025-11-23,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e1955fc2,9327fe0b,,2025-11-08,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e1f462e8,33b4a9a3,,2025-12-30,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e2b25c22,f5a571ce,,2025-03-06,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e3b83b51,9327fe0b,,2025-04-23,,,e9150cce,cea4ab02,,Culto de Quarta - Criação de Filhos,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e4368be0,9327fe0b,,2025-08-03,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e4b2fd08,9327fe0b,,2025-01-12,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e4c569da,9327fe0b,,2025-05-07,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
e6750727,9327fe0b,,2025-06-18,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
eb02b4df,33b4a9a3,,2025-06-24,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
ebb5a5c0,9327fe0b,,2025-05-18,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
ec35f91c,f5a571ce,,2025-08-21,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f08a4725,9327fe0b,,2025-03-19,,,e9150cce,e6ea5cf5,,Culto das Mulheres,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f099e593,33b4a9a3,,2025-07-29,,,e9150cce,172ae3c7,,Ensaio Louvor,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f1759d40,9327fe0b,,2025-06-08,,,e9150cce,5103750e,,Aniversário Sede - Ap de Gyn,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f1c81d16,e910cfb7,,2025-12-06,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f1f31e9f,e910cfb7,,2025-06-14,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f2e72f96,9327fe0b,,2025-11-16,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f608d77c,f5a571ce,,2025-06-19,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f6c1da5e,f5a571ce,,2025-01-21,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f6de8d49,9327fe0b,,2025-12-14,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f6fdfe8f,f5a571ce,,2025-04-17,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
f8c51383,9327fe0b,,2025-05-14,,,e9150cce,24c63695,,Culto de Quarta - Casais,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
fa047260,e910cfb7,,2025-06-21,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
fd9f47e4,05c5c55d,,2025-10-11,,,e9150cce,2c69d0a4,,Dia das Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
fdc49487,9327fe0b,,2025-04-16,,,e9150cce,cea4ab02,,Culto de Quarta - Criação de Filhos,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
fe7df2ff,9327fe0b,,2025-08-10,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
