idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
1eee894c,9327fe0b,,2025-08-17,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
1f54dacb,9327fe0b,,2025-09-10,,,e9150cce,b9c642aa,,Culto de Quarta - Evangelismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2091c934,ad72a13c,,2025-02-23,,,,ae1b6f9f,,Batismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
212b7309,9327fe0b,,2025-10-26,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
215753fe,9327fe0b,,2025-04-09,,,e9150cce,cea4ab02,,Culto de Quarta - Criação de Filhos,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2254be1d,9327fe0b,,2025-06-22,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
23f5c439,9327fe0b,,2024-12-12,,,e9150cce,85f587e7,,Quinta Profética,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2629df4e,11b5578a,,2025-02-05,,,e9150cce,e6ea5cf5,,Culto Mulheres,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2826a1fb,be798a58,,2025-02-26,,,e9150cce,1f5005d7,,Culto dos Homens,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2b32b31c,9327fe0b,,2025-06-01,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2bed2d05,9327fe0b,,2025-02-23,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2c523549,9327fe0b,,2025-05-25,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2d6d0be8,9327fe0b,,2025-03-12,,,e9150cce,1f5005d7,,Culto dos Homens,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
2d9ffdd7,9327fe0b,,2025-04-06,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
31163bc9,f5a571ce,,2025-12-18,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
312195d5,9327fe0b,,2025-09-24,,,e9150cce,b9c642aa,,Culto de Quarta - Evangelismo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
32affe15,f5a571ce,,2025-02-06,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3367167f,9327fe0b,,2025-11-02,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3377cf5c,9327fe0b,,2025-01-05,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
348cb57e,9327fe0b,,2025-11-02,,,e9150cce,5bb57938,,Conferência Dando Destino,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
35f07b5d,9327fe0b,,2025-01-18,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
35f9cd7e,9327fe0b,,2025-01-16,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
380df999,9327fe0b,,2025-07-11,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3991545f,f5a571ce,,2025-07-17,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3a852185,9327fe0b,,2025-11-19,,,e9150cce,1317e71b,,Culto de Quarta - Imersão de Adoração,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3aa71292,9327fe0b,,2025-11-30,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3ac787e6,9327fe0b,,2025-01-26,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3ac7b41b,f5a571ce,,2025-10-02,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3cde2477,e910cfb7,,2025-04-19,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3ebc274c,9327fe0b,,2025-10-12,,,e9150cce,5ace9da0,,Consagração Crianças,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
3efa2cc9,9327fe0b,,2025-06-25,,,e9150cce,53f1bfc8,,Culto de Quarta - Família no Altar,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
406fc3e4,9327fe0b,,2025-01-19,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
40a72fa5,9327fe0b,,2025-01-17,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4142b65d,e910cfb7,,2025-07-19,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
416ee103,9327fe0b,,2025-10-19,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
