"strong_code","language","lemma","transliteration"
"H0113","hebrew","אָדוֹן","a.don"
"H0114","hebrew","אַדּוֹן","ad.don"
"H0115","hebrew","אֲדוֹרַ֫יִם","a.do.ra.yim"
"H0116","hebrew","אֱדַ֫יִן","e.da.yin"
"H0117","hebrew","אַדִּיר","ad.dir"
"H0118","hebrew","אֲדַלְיָא","a.dal.ya"
"H0119","hebrew","אָדֹם","a.dam"
"H0120","hebrew","אָדָם","a.dam"
"H0121","hebrew","אָדָם","a.dam"
"H0122a","hebrew","אָדֹם","a.dom"
"H0122b","hebrew","אֱדֹם","e.dom"
"H0123","hebrew","אֱדוֹם","e.dom"
"H0124","hebrew","אֹ֫דֶם","o.dem"
"H0125","hebrew","אֲדַמְדָּם","a.dam.dam"
"H0126","hebrew","אַדְמָה","ad.mah"
"H0127","hebrew","אֲדָמָה","a.da.mah"
"H0128","hebrew","אֲדָמָה","a.da.mah"
"H0129","hebrew","אֲדָמִי","a.da.mi"
"H0130","hebrew","אֲדֹמִי","e.do.mi"
"H0131","hebrew","אֲדֻמִּים","a.dum.mim"
"H0132","hebrew","אַדְמוֹנִי","ad.mo.ni"
"H0133","hebrew","אַדְמָתָא","ad.ma.ta"
"H0134","hebrew","אֶ֫דֶן","e.den"
"H0135","hebrew","אַדָּן","ad.dan"
"H0136","hebrew","אֲדֹנָי","a.do.nai"
"H0137","hebrew","אֲדֹנִי־בֶ֫זֶק","a.do.ni-ve.zeq"
"H0138","hebrew","אֲדֹנִיָּ֫הוּ","a.do.niy.yah"
"H0139","hebrew","אֲדֹנִי־צֶ֫דֶק","a.do.ni-tse.deq"
"H0140","hebrew","אֲדֹנִיקָם","a.do.ni.qam"
"H0141","hebrew","אֲדֹנִירָם","a.do.ni.ram"
"H0142","hebrew","אָדַר","a.dar"
"H0143","hebrew","אֲדָר","a.dar"
"H0144","hebrew","אֲדָר","a.dar"
"H0145","hebrew","אֶ֫דֶר","e.der"
"H0146","hebrew","אַדָּר","ad.dar"
"H0147","hebrew","אִדַּר","id.dar"
"H0148","hebrew","אֲדַרְגָּזֵר","a.dar.ga.zer"
"H0149","hebrew","אַדְרַזְדָּא","ad.raz.da"
"H0150","hebrew","אֲדַרְכֹּן","a.dar.kon"
"H0151","hebrew","אֲדֹרָם","a.do.ram"
"H0152","hebrew","אַדְרַמֶּ֫לֶךְ","a.de.ram.me.lekh"
"H0153","hebrew","אֶדְרַע","ed.ra"
"H0154","hebrew","אֶדְרֶ֫עִי","ed.re.i"
"H0155","hebrew","אַדֶּ֫רֶת","ad.de.ret"
"H0156","hebrew","אָדַשׁ","a.dash"
"H0157","hebrew","אָהֵב","a.hav"
"H0158","hebrew","אַ֫הַב","a.hav"
"H0159","hebrew","אֹ֫הַב","o.hav"
"H0160","hebrew","אַהֲבָה","a.ha.vah"
"H0161","hebrew","אֹ֫הַד","o.had"
"H0162","hebrew","אֲהָהּ","a.hah"
"H0163","hebrew","אַהֲוָא","a.ha.va"
"H0164","hebrew","אֵהוּד","e.hud"
"H0165","hebrew","אֱהִי","e.hi"
"H0166","hebrew","אָהַל","a.hal"
"H0167","hebrew","אָהַל","a.hal"
"H0168","hebrew","אֹ֫הֶל","o.hel"
"H0169","hebrew","אֹ֫הֶל","o.hel"
"H0170","hebrew","אׇהֳלָה","o.ho.lah"
"H0171","hebrew","אׇהֳלִיאָב","o.ho.li.av"
"H0172","hebrew","אׇהֳלִיבָה","o.ho.li.vah"
"H0173","hebrew","אׇהֳלִיבָמָה","o.ho.li.va.mah"
"H0174","hebrew","אָהָל","a.ha.lim"
"H0175","hebrew","אַהֲרֹן","a.ha.ron"
"H0176a","hebrew","אוֹ","o"
"H0176b","hebrew","אוֹ","o"
